GTIN,Manufacturer Name,Brand,Volume,Volume Code,Name Public Long,Name Public Short,Functional Name,Packaging Type Code,Useable Units,Ratio Alcohol,Packaging Information,Country of Origin,Alcohol Kind
00818844022818,Proximo Spirits Inc,Jose Cuervo®,355.0,mL,Jose Cuervo® Sparkling Margarita Pink Lemonade Ready to Drink Cocktail - 4-355 ml,Jose Cuervo® Sparkling Margarita Pink Lemonade Ready to Drink Cocktail - 4-355 ml,,EACH,4,8.0,,USA,"Punch, Cocktail & Premix"
00811538011013,Proximo Spirits Inc,Jose Cuervo®,1.75,L,Jose Cuervo® Authentic Margarita Mango Ready to Drink Cocktail - 1.75 L,Jose Cuervo® Authentic Margarita Mango Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00811538019651,Proximo Spirits Inc,Jose Cuervo®,1.75,L,Jose Cuervo® Authentic Margarita Orange Pineapple Ready to Drink Cocktail - 1.75 L,Jose Cuervo® Authentic Margarita Orange Pineapple Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00670822441147,"Anheuser-Busch, Inc.",Cisco Brewers,12.0,fl. oz,"Cisco Brewers Atlantic Orange Hard Tea, 12 fl. oz. Can",Atlantic Orange Hard Tea,Hard Tea,EACH,1,5.0,,USA,"Punch, Cocktail & Premix"
00670822441130,"Anheuser-Busch, Inc.",Cisco Brewers,12.0,fl. oz,"Cisco Brewers Wild Blueberry Hard Tea, 12 fl. oz. Can",Wild Blueberry Hard Tea,Hard Tea,EACH,1,5.0,,USA,"Punch, Cocktail & Premix"
00018200260841,"Anheuser-Busch, Inc.",LQD Creative Liquids,12.0,fl. oz,"LQD Hard Hibiscus Lemonade, 12 fl. oz. Can",Hard Hibiscus Lemonade,Hard Lemonade,EACH,1,6.0,,USA,"Punch, Cocktail & Premix"
00670822441116,"Anheuser-Busch, Inc.",Cisco Brewers,12.0,fl. oz,"Cisco Brewers Island Lemon Hard Tea, 12 fl. oz. Can",Island Lemon Hard Tea,Hard Tea,EACH,1,5.0,,USA,"Punch, Cocktail & Premix"
00857914008789,"Anheuser-Busch, Inc.",Devils Backbone,12.0,fl. oz,"Devils Backbone Distilling Co. Vodka Mule Ready to Drink Canned Cocktail 7.5%, 12 fl. oz. Can",Vodka Mule Ready to Drink Canned Cocktail,Canned Cocktail,EACH,1,7.5,,USA,"Punch, Cocktail & Premix"
00018200262289,"Anheuser-Busch, Inc.",Southern Comfort,12.0,fl. oz,"Southern Comfort™ Paradise Punch, 12 fl. oz. Can",Paradise Punch,Cocktail,EACH,1,5.0,,USA,"Punch, Cocktail & Premix"
00670822441123,"Anheuser-Busch, Inc.",Cisco Brewers,12.0,fl. oz,"Cisco Brewers Surfside Peach Hard Tea, 12 fl. oz. Can",Surfside Peach Hard Tea,Hard Tea,EACH,1,5.0,,USA,"Punch, Cocktail & Premix"
00074806186718,Harvest Hill Beverage Company,Daily's,10.0,fl. oz,"Daily’s Watermelon Ready to Drink Frozen Cocktail, 10 FL OZ Pouch",Daily's 10oz Watermelon,,EACH,1,5.0,,USA,"Punch, Cocktail & Premix"
00818844023082,Proximo Spirits Inc,Kraken Rum,355.0,mL,Kraken Rum Punch Ready to Drink Cocktail - 355 ml,Kraken Rum Punch Ready to Drink Cocktail - 355 ml,,EACH,1,5.0,,USA,"Punch, Cocktail & Premix"
00818844023099,Proximo Spirits Inc,Kraken Rum,355.0,mL,Kraken Rum Punch Ready to Drink Cocktail - 4-355 ml,Kraken Rum Punch Ready to Drink Cocktail - 4-355 ml,,EACH,4,5.0,,USA,"Punch, Cocktail & Premix"
00818844023068,Proximo Spirits Inc,Kraken Rum,355.0,mL,Kraken Rum & Ginger Beer Ready to Drink Cocktail - 355 ml,Kraken Rum & Ginger Beer Ready to Drink Cocktail - 355 ml,,EACH,1,5.0,,USA,"Punch, Cocktail & Premix"
00818844023051,Proximo Spirits Inc,Kraken Rum,355.0,mL,Kraken Rum & Cola Ready to Drink Cocktail - 4-355 ml,Kraken Rum & Cola Ready to Drink Cocktail - 4-355 ml,,EACH,4,5.0,,USA,"Punch, Cocktail & Premix"
00818844023044,Proximo Spirits Inc,Kraken Rum,355.0,mL,Kraken Rum & Cola Ready to Drink Cocktail - 355 ml,Kraken Rum & Cola Ready to Drink Cocktail - 355 ml,,EACH,1,5.0,,USA,"Punch, Cocktail & Premix"
00018200200717,"Anheuser-Busch, Inc.",Ritas,96.0,fl. oz,"Ritas Peach-A-Rita Malt Beverage, 12 Pack 8 fl. oz. Cans",FMWB High-ABV,FMWB High-ABV,EACH,12,8.0,,USA,"Punch, Cocktail & Premix"
00816751021986,"Anheuser-Busch, Inc.",Cutwater,355.0,mL,Cutwater Long Island Iced Tea 355 ml,Canned Cocktail,Canned Cocktail,EACH,1,13.0,,USA,"Punch, Cocktail & Premix"
